charged_moves,elite_charged_moves,elite_fast_moves,fast_moves,form,pokemon_name
"['Psybeam', 'Psychic', 'Ice Punch', 'Triple Axel']",[],[],"['Confusion', 'Zen Headbutt']",Galarian,Mr. Mime
"['Psybeam', 'Psychic', 'Shadow Ball']",[],[],"['Confusion', 'Zen Headbutt', 'Magical Leaf', 'Psywave']",Normal,Mr. Mime
"['Night Slash', 'X Scissor', 'Aerial Ace', 'Trailblaze']",['Bug Buzz'],['Steel Wing'],"['Fury Cutter', 'Air Slash']",Normal,Scyther
"['Draining Kiss', 'Avalanche', 'Psyshock', 'Focus Blast']",['Ice Punch'],['Pound'],"['Frost Breath', 'Confusion']",Normal,Jynx
"['Thunder Punch', 'Thunderbolt', 'Thunder']",[],[],"['Thunder Shock', 'Low Kick']",Normal,Electabuzz
"['Fire Blast', 'Fire Punch', 'Flamethrower', 'Scorching Sands']",[],[],"['Ember', 'Karate Chop']",Normal,Magmar
"['Vice Grip', 'X Scissor', 'Close Combat', 'Super Power']",['Submission'],[],"['Rock Smash', 'Bug Bite', 'Fury Cutter']",Normal,Pinsir
"['Horn Attack', 'Iron Head', 'Earthquake', 'Trailblaze']",[],[],"['Tackle', 'Zen Headbutt']",Normal,Tauros
['Struggle'],[],[],['Splash'],Normal,Magikarp
"['Hydro Pump', 'Crunch', 'Outrage', 'Twister']","['Dragon Pulse', 'Aqua Tail']",['Dragon Tail'],"['Bite', 'Waterfall', 'Dragon Breath']",Normal,Gyarados
"['Hydro Pump', 'Surf', 'Blizzard', 'Skull Bash']","['Dragon Pulse', 'Ice Beam']",['Ice Shard'],"['Frost Breath', 'Water Gun']",Costume_2020,Lapras
"['Hydro Pump', 'Surf', 'Blizzard', 'Skull Bash']","['Dragon Pulse', 'Ice Beam']",['Ice Shard'],"['Frost Breath', 'Water Gun']",Normal,Lapras
['Struggle'],[],[],['Transform'],Normal,Ditto
"['Dig', 'Swift']","['Last Resort', 'Body Slam']",[],"['Quick Attack', 'Tackle']",Gofest_2024_mtiara,Eevee
"['Dig', 'Swift']","['Last Resort', 'Body Slam']",[],"['Quick Attack', 'Tackle']",Gofest_2024_stiara,Eevee
"['Dig', 'Swift']","['Last Resort', 'Body Slam']",[],"['Quick Attack', 'Tackle']",Normal,Eevee
"['Water Pulse', 'Hydro Pump', 'Aqua Tail', 'Liquidation']","['Last Resort', 'Scald']",[],['Water Gun'],Normal,Vaporeon
"['Discharge', 'Thunderbolt', 'Thunder']","['Last Resort', 'Zap Cannon']",[],"['Thunder Shock', 'Volt Switch']",Normal,Jolteon
"['Fire Blast', 'Flamethrower', 'Overheat']","['Last Resort', 'Heat Wave', 'Super Power']",[],"['Ember', 'Fire Spin']",Normal,Flareon
"['Solar Beam', 'Hyper Beam', 'Zap Cannon']","['Signal Beam', 'Psybeam', 'Discharge']","['Tackle', 'Zen Headbutt']","['Charge Beam', 'Hidden Power']",Normal,Porygon
"['Ancient Power', 'Bubble Beam', 'Rock Blast']","['Rock Tomb', 'Brine']",[],"['Water Gun', 'Mud Shot']",Normal,Omanyte
"['Ancient Power', 'Hydro Pump', 'Rock Blast']",['Rock Slide'],['Rock Throw'],"['Mud Shot', 'Water Gun']",Normal,Omastar
"['Ancient Power', 'Aqua Jet', 'Rock Tomb']",[],[],"['Scratch', 'Mud Shot']",Normal,Kabuto
"['Ancient Power', 'Water Pulse', 'Stone Edge']",[],['Fury Cutter'],"['Mud Shot', 'Rock Smash', 'Waterfall']",Normal,Kabutops
"['Ancient Power', 'Iron Head', 'Hyper Beam', 'Rock Slide', 'Earth Power']",[],[],"['Steel Wing', 'Bite', 'Rock Throw']",Normal,Aerodactyl
"['Ancient Power', 'Iron Head', 'Hyper Beam', 'Rock Slide', 'Earth Power']",[],[],"['Steel Wing', 'Bite', 'Rock Throw']",Summer_2023,Aerodactyl
"['Heavy Slam', 'Hyper Beam', 'Earthquake', 'Outrage', 'Skull Bash', 'Body Slam', 'Super Power']",[],['Yawn'],"['Zen Headbutt', 'Lick']",Normal,Snorlax
"['Futuresight', 'Ancient Power', 'Brave Bird']",[],[],"['Confusion', 'Psycho Cut']",Galarian,Articuno
"['Ice Beam', 'Icy Wind', 'Blizzard', 'Ancient Power', 'Triple Axel']",['Hurricane'],[],"['Frost Breath', 'Ice Shard']",Normal,Articuno
"['Close Combat', 'Ancient Power', 'Brave Bird']",[],[],['Counter'],Galarian,Zapdos
"['Zap Cannon', 'Thunderbolt', 'Thunder', 'Ancient Power', 'Drill Peck']",[],['Thunder Shock'],['Charge Beam'],Normal,Zapdos
"['Payback', 'Ancient Power', 'Brave Bird']",[],[],"['Sucker Punch', 'Wing Attack']",Galarian,Moltres
"['Fire Blast', 'Heat Wave', 'Overheat', 'Ancient Power']",['Sky Attack'],[],"['Fire Spin', 'Wing Attack']",Normal,Moltres
"['Wrap', 'Twister', 'Aqua Tail']",[],[],"['Dragon Breath', 'Iron Tail']",Normal,Dratini
"['Wrap', 'Aqua Tail', 'Dragon Pulse', 'Body Slam']",[],[],"['Dragon Breath', 'Iron Tail']",Normal,Dragonair
"['Hurricane', 'Hyper Beam', 'Outrage', 'Dragon Claw', 'Super Power']","['Draco Meteor', 'Dragon Pulse']",[],"['Dragon Tail', 'Steel Wing', 'Dragon Breath']",Normal,Dragonite
"['Rock Slide', 'Dynamic Punch', 'Earthquake', 'Futuresight']",['Psystrike'],[],"['Confusion', 'Iron Tail']",A,Mewtwo
"['Psychic', 'Thunderbolt', 'Ice Beam', 'Focus Blast', 'Flamethrower']","['Psystrike', 'Shadow Ball', 'Hyper Beam']",[],"['Psycho Cut', 'Confusion']",Normal,Mewtwo
"['Psychic', 'Ancient Power', 'Dragon Claw', 'Psyshock', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Solar Beam', 'Thunderbolt', 'Thunder', 'Flame Charge', 'Low Sweep', 'Overheat', 'Focus Blast', 'Energy Ball', 'Stone Edge', 'Gyro Ball', 'Bulldoze', 'Rock Slide', 'Grass Knot', 'Flash Cannon', 'Wild Charge', 'Dark Pulse', 'Dazzling Gleam', 'Surf']",[],[],"['Pound', 'Steel Wing', 'Charge Beam', 'Shadow Claw', 'Volt Switch', 'Struggle Bug', 'Frost Breath', 'Dragon Tail', 'Infestation', 'Poison Jab', 'Rock Smash', 'Snarl', 'Cut', 'Waterfall']",Normal,Mew
"['Energy Ball', 'Grass Knot', 'Body Slam']",[],[],"['Vine Whip', 'Tackle', 'Magical Leaf']",Normal,Chikorita
"['Energy Ball', 'Grass Knot', 'Ancient Power']",[],[],"['Razor Leaf', 'Tackle', 'Magical Leaf']",Normal,Bayleef
"['Petal Blizzard', 'Solar Beam', 'Earthquake']",['Frenzy Plant'],[],"['Razor Leaf', 'Vine Whip', 'Magical Leaf']",Normal,Meganium
"['Flame Charge', 'Swift', 'Flamethrower']",[],[],"['Ember', 'Tackle']",Normal,Cyndaquil
"['Flame Charge', 'Dig', 'Flamethrower']",[],[],"['Ember', 'Tackle']",Normal,Quilava
"['Fire Punch', 'Wild Charge', 'Shadow Ball', 'Overheat', 'Night Shade']",[],[],"['Hex', 'Ember']",Hisuian,Typhlosion
"['Fire Blast', 'Overheat', 'Solar Beam', 'Thunder Punch']",['Blast Burn'],[],"['Ember', 'Shadow Claw', 'Incinerate']",Normal,Typhlosion
"['Crunch', 'Aqua Jet', 'Water Pulse']",[],[],"['Water Gun', 'Scratch']",Normal,Totodile
"['Crunch', 'Ice Punch', 'Water Pulse']",[],[],"['Water Gun', 'Scratch']",Normal,Croconaw
"['Crunch', 'Hydro Pump', 'Ice Beam']",['Hydro Cannon'],['Water Gun'],"['Waterfall', 'Bite', 'Ice Fang', 'Shadow Claw']",Normal,Feraligatr
"['Dig', 'Brick Break', 'Grass Knot']",[],[],"['Scratch', 'Quick Attack']",Normal,Sentret
"['Dig', 'Brick Break', 'Hyper Beam']",[],[],"['Quick Attack', 'Sucker Punch']",Normal,Furret
"['Aerial Ace', 'Sky Attack', 'Night Shade']",[],[],"['Feint Attack', 'Peck']",Normal,Hoothoot
"['Psychic', 'Sky Attack', 'Night Shade', 'Shadow Ball']",[],[],"['Wing Attack', 'Extrasensory']",Normal,Noctowl
"['Silver Wind', 'Swift', 'Aerial Ace']",[],[],"['Tackle', 'Bug Bite']",Normal,Ledyba
"['Bug Buzz', 'Silver Wind', 'Aerial Ace', 'Dynamic Punch']",[],[],"['Struggle Bug', 'Bug Bite', 'Counter']",Normal,Ledian
"['Night Slash', 'Signal Beam', 'Cross Poison']",[],[],"['Poison Sting', 'Bug Bite']",Normal,Spinarak
"['Shadow Sneak', 'Megahorn', 'Cross Poison', 'Lunge', 'Trailblaze']",[],[],"['Poison Sting', 'Infestation']",Normal,Ariados
"['Shadow Ball', 'Air Cutter', 'Sludge Bomb', 'Poison Fang', 'Cross Poison']",[],[],"['Air Slash', 'Bite']",Normal,Crobat
"['Water Pulse', 'Thunderbolt', 'Bubble Beam']",[],[],"['Bubble', 'Spark']",Normal,Chinchou
"['Hydro Pump', 'Thunderbolt', 'Thunder', 'Surf']",[],[],"['Water Gun', 'Charge Beam', 'Spark']",Normal,Lanturn
"['Thunderbolt', 'Disarming Voice', 'Thunder Punch']",[],[],['Thunder Shock'],Normal,Pichu
"['Grass Knot', 'Psyshock', 'Signal Beam', 'Swift']","['Psychic', 'Body Slam']",[],"['Pound', 'Zen Headbutt']",Normal,Cleffa
"['Wild Charge', 'Shadow Ball', 'Psychic', 'Swift']",['Body Slam'],[],"['Pound', 'Feint Attack']",Normal,Igglybuff
"['Ancient Power', 'Psyshock', 'Dazzling Gleam']",[],['Zen Headbutt'],"['Hidden Power', 'Peck']",Normal,Togepi
"['Ancient Power', 'Dazzling Gleam', 'Aerial Ace', 'Draining Kiss']",[],"['Steel Wing', 'Zen Headbutt']","['Extrasensory', 'Hidden Power', 'Fairy Wind']",Normal,Togetic
"['Night Shade', 'Psyshock', 'Drill Peck']",[],[],"['Peck', 'Quick Attack']",Normal,Natu
"['Ominous Wind', 'Futuresight', 'Aerial Ace']",[],[],"['Air Slash', 'Feint Attack']",Normal,Xatu
"['Body Slam', 'Thunderbolt', 'Discharge', 'Trailblaze']",[],[],"['Tackle', 'Thunder Shock']",Normal,Mareep
"['Power Gem', 'Thunderbolt', 'Discharge', 'Trailblaze']",[],[],"['Tackle', 'Charge Beam']",Normal,Flaaffy
"['Zap Cannon', 'Focus Blast', 'Thunder', 'Power Gem', 'Thunder Punch', 'Brutal Swing', 'Trailblaze']",['Dragon Pulse'],[],"['Charge Beam', 'Volt Switch']",Normal,Ampharos
"['Leaf Blade', 'Petal Blizzard', 'Dazzling Gleam']",[],[],"['Razor Leaf', 'Acid', 'Bullet Seed', 'Magical Leaf']",Normal,Bellossom
"['Bubble Beam', 'Aqua Tail', 'Body Slam']",[],[],"['Tackle', 'Bubble']",Normal,Marill
"['Play Rough', 'Hydro Pump', 'Ice Beam']",[],[],"['Rock Smash', 'Bubble']",Normal,Azumarill
"['Stone Edge', 'Earthquake', 'Rock Slide', 'Rock Tomb', 'Meteor Beam', 'Trailblaze']",[],[],"['Rock Throw', 'Counter']",Normal,Sudowoodo
"['Hydro Pump', 'Blizzard', 'Surf', 'Weather Ball Water', 'Scald']","['Earthquake', 'Ice Beam']",[],"['Mud Shot', 'Bubble']",Normal,Politoed
"['Grass Knot', 'Dazzling Gleam', 'Seed Bomb']",[],[],"['Tackle', 'Bullet Seed']",Normal,Hoppip
"['Grass Knot', 'Dazzling Gleam', 'Energy Ball']",[],[],"['Tackle', 'Bullet Seed']",Normal,Skiploom
"['Energy Ball', 'Dazzling Gleam', 'Solar Beam', 'Aerial Ace']",['Acrobatics'],[],"['Infestation', 'Bullet Seed', 'Fairy Wind']",Normal,Jumpluff
"['Low Sweep', 'Swift', 'Aerial Ace']",[],[],"['Scratch', 'Astonish']",Normal,Aipom
"['Energy Ball', 'Grass Knot', 'Seed Bomb']",[],[],"['Razor Leaf', 'Cut']",Normal,Sunkern
"['Solar Beam', 'Petal Blizzard', 'Sludge Bomb', 'Leaf Storm']",[],[],"['Razor Leaf', 'Bullet Seed']",Normal,Sunflora
"['Ancient Power', 'Aerial Ace', 'Silver Wind']",[],[],"['Quick Attack', 'Wing Attack']",Normal,Yanma
"['Mud Bomb', 'Dig', 'Body Slam']",[],[],"['Water Gun', 'Mud Shot']",Normal,Wooper
"['Sludge Wave', 'Dig', 'Body Slam']",[],[],"['Poison Jab', 'Mud Shot']",Paldea,Wooper
"['Sludge Bomb', 'Earthquake', 'Stone Edge', 'Acid Spray', 'Mud Bomb']",['Aqua Tail'],[],"['Water Gun', 'Mud Shot']",Normal,Quagsire
"['Psybeam', 'Psychic', 'Futuresight', 'Psychic Fangs']","['Last Resort', 'Shadow Ball']",[],"['Confusion', 'Zen Headbutt']",Gofest_2024_sscarf,Espeon
"['Psybeam', 'Psychic', 'Futuresight', 'Psychic Fangs']","['Last Resort', 'Shadow Ball']",[],"['Confusion', 'Zen Headbutt']",Normal,Espeon
"['Dark Pulse', 'Foul Play']","['Last Resort', 'Psychic']",[],"['Feint Attack', 'Snarl']",Gofest_2024_mscarf,Umbreon
"['Dark Pulse', 'Foul Play']","['Last Resort', 'Psychic']",[],"['Feint Attack', 'Snarl']",Normal,Umbreon
"['Drill Peck', 'Foul Play', 'Dark Pulse']",[],[],"['Peck', 'Feint Attack']",Normal,Murkrow
"['Blizzard', 'Psychic', 'Fire Blast', 'Scald']",['Surf'],[],"['Water Gun', 'Confusion']",2022,Slowking
"['Futuresight', 'Shadow Ball', 'Sludge Wave', 'Scald']",['Surf'],[],"['Hex', 'Confusion', 'Acid']",Galarian,Slowking
"['Blizzard', 'Psychic', 'Fire Blast', 'Scald']",['Surf'],[],"['Water Gun', 'Confusion']",Normal,Slowking
"['Shadow Sneak', 'Dark Pulse', 'Ominous Wind']",[],[],"['Astonish', 'Hex', 'Psywave']",Normal,Misdreavus
['Struggle'],[],[],['Hidden Power'],A,Unown
['Struggle'],[],[],['Hidden Power'],B,Unown
['Struggle'],[],[],['Hidden Power'],C,Unown
['Struggle'],[],[],['Hidden Power'],D,Unown
['Struggle'],[],[],['Hidden Power'],E,Unown
['Struggle'],[],[],['Hidden Power'],Exclamation_point,Unown
['Struggle'],[],[],['Hidden Power'],F,Unown
['Struggle'],[],[],['Hidden Power'],G,Unown
['Struggle'],[],[],['Hidden Power'],H,Unown
['Struggle'],[],[],['Hidden Power'],I,Unown
['Struggle'],[],[],['Hidden Power'],J,Unown
['Struggle'],[],[],['Hidden Power'],K,Unown
['Struggle'],[],[],['Hidden Power'],L,Unown
['Struggle'],[],[],['Hidden Power'],M,Unown
['Struggle'],[],[],['Hidden Power'],N,Unown
['Struggle'],[],[],['Hidden Power'],O,Unown
['Struggle'],[],[],['Hidden Power'],P,Unown
['Struggle'],[],[],['Hidden Power'],Q,Unown
['Struggle'],[],[],['Hidden Power'],Question_mark,Unown
['Struggle'],[],[],['Hidden Power'],R,Unown
['Struggle'],[],[],['Hidden Power'],S,Unown
['Struggle'],[],[],['Hidden Power'],T,Unown
['Struggle'],[],[],['Hidden Power'],U,Unown
['Struggle'],[],[],['Hidden Power'],V,Unown
['Struggle'],[],[],['Hidden Power'],W,Unown
['Struggle'],[],[],['Hidden Power'],X,Unown
['Struggle'],[],[],['Hidden Power'],Y,Unown
['Struggle'],[],[],['Hidden Power'],Z,Unown
['Mirror Coat'],[],[],"['Counter', 'Splash', 'Charm']",Normal,Wobbuffet
"['Psychic', 'Thunderbolt', 'Mirror Coat', 'Psychic Fangs', 'Trailblaze']",[],[],"['Tackle', 'Confusion', 'Double Kick']",Normal,Girafarig
"['Gyro Ball', 'Rock Tomb', 'Sand Tomb']",[],[],"['Tackle', 'Bug Bite']",Normal,Pineco
"['Heavy Slam', 'Earthquake', 'Rock Tomb', 'Sand Tomb', 'Mirror Shot']",[],[],"['Bug Bite', 'Struggle Bug', 'Volt Switch']",Normal,Forretress
"['Dig', 'Rock Slide', 'Drill Run']",[],[],"['Bite', 'Astonish', 'Rollout']",Normal,Dunsparce
"['Dig', 'Aerial Ace', 'Night Slash']",[],[],"['Fury Cutter', 'Wing Attack']",Normal,Gligar
"['Earthquake', 'Heavy Slam', 'Crunch', 'Psychic Fangs', 'Breaking Swipe']",[],[],"['Iron Tail', 'Dragon Tail', 'Thunder Fang']",Normal,Steelix
"['Crunch', 'Dazzling Gleam', 'Brick Break']",[],[],"['Tackle', 'Bite']",Normal,Snubbull
"['Crunch', 'Play Rough', 'Close Combat']",[],[],"['Bite', 'Snarl', 'Charm']",Normal,Granbull
"['Aqua Tail', 'Ice Beam', 'Sludge Bomb', 'Dark Pulse', 'Shadow Ball']",[],[],"['Poison Sting', 'Poison Jab']",Hisuian,Qwilfish
"['Aqua Tail', 'Ice Beam', 'Sludge Wave', 'Acid Spray', 'Fell Stinger', 'Scald']",[],[],"['Poison Sting', 'Water Gun']",Normal,Qwilfish
"['X Scissor', 'Iron Head', 'Night Slash', 'Trailblaze']",[],[],"['Bullet Punch', 'Fury Cutter']",Normal,Scizor
"['Rock Blast', 'Stone Edge', 'Gyro Ball']",[],[],"['Struggle Bug', 'Rock Throw']",Normal,Shuckle
"['Megahorn', 'Close Combat', 'Earthquake', 'Rock Blast']",[],[],"['Counter', 'Struggle Bug']",Normal,Heracross
"['Aerial Ace', 'Close Combat', 'X Scissor']",[],[],"['Rock Smash', 'Poison Jab']",Hisuian,Sneasel
"['Avalanche', 'Ice Punch', 'Foul Play', 'Triple Axel']",[],[],"['Ice Shard', 'Feint Attack']",Normal,Sneasel
"['Cross Chop', 'Crunch', 'Play Rough', 'Trailblaze', 'Swift']",[],[],"['Scratch', 'Lick']",Normal,Teddiursa
"['Close Combat', 'Hyper Beam', 'Play Rough', 'Trailblaze', 'Swift']",[],[],"['Metal Claw', 'Counter', 'Shadow Claw']",Normal,Ursaring
"['Flame Burst', 'Flame Charge', 'Rock Slide']",[],[],"['Ember', 'Rock Throw']",Normal,Slugma
"['Heat Wave', 'Overheat', 'Stone Edge', 'Rock Tomb']",[],[],"['Ember', 'Rock Throw', 'Incinerate']",Normal,Magcargo
"['Icy Wind', 'Body Slam', 'Rock Slide']",[],[],"['Tackle', 'Powder Snow']",Normal,Swinub
"['Avalanche', 'Bulldoze', 'Stone Edge', 'High Horsepower']",[],[],"['Ice Shard', 'Powder Snow']",Normal,Piloswine
"['Rock Blast', 'Power Gem', 'Night Shade']",[],[],"['Tackle', 'Astonish']",Galarian,Corsola
"['Rock Blast', 'Power Gem', 'Bubble Beam']",[],[],"['Tackle', 'Bubble']",Normal,Corsola
"['Aurora Beam', 'Water Pulse', 'Rock Blast']",[],[],"['Water Gun', 'Mud Shot']",Normal,Remoraid
"['Gunk Shot', 'Water Pulse', 'Aurora Beam', 'Acid Spray', 'Octazooka']",[],[],"['Water Gun', 'Mud Shot', 'Lock On']",Normal,Octillery
"['Ice Punch', 'Icy Wind', 'Aerial Ace', 'Fly', 'Triple Axel']",[],[],['Present'],Normal,Delibird
"['Ice Punch', 'Icy Wind', 'Aerial Ace', 'Fly', 'Triple Axel']",[],[],['Present'],Winter_2020,Delibird
"['Water Pulse', 'Ice Beam', 'Aerial Ace', 'Bubble Beam']",[],[],"['Bubble', 'Wing Attack', 'Bullet Seed']",Normal,Mantine
"['Brave Bird', 'Sky Attack', 'Flash Cannon']",[],[],"['Steel Wing', 'Air Slash']",Normal,Skarmory
"['Crunch', 'Flamethrower', 'Dark Pulse']",[],[],"['Feint Attack', 'Ember']",Normal,Houndour
"['Crunch', 'Fire Blast', 'Foul Play', 'Flamethrower']",[],[],"['Snarl', 'Fire Fang']",Normal,Houndoom
"['Hydro Pump', 'Blizzard', 'Outrage', 'Octazooka']",[],['Water Gun'],"['Waterfall', 'Dragon Breath']",Normal,Kingdra
"['Bulldoze', 'Rock Slide', 'Body Slam', 'Trailblaze']",[],[],"['Tackle', 'Rock Smash']",Normal,Phanpy
"['Earthquake', 'Heavy Slam', 'Play Rough', 'Body Slam', 'Trailblaze']",[],[],"['Tackle', 'Counter', 'Mud Slap', 'Charm']",Normal,Donphan
"['Solar Beam', 'Hyper Beam', 'Zap Cannon', 'Tri Attack']",[],[],"['Hidden Power', 'Charge Beam', 'Lock On']",Normal,Porygon2
"['Stomp', 'Wild Charge', 'Megahorn']",[],[],"['Tackle', 'Zen Headbutt']",Normal,Stantler
[],[],[],[],Normal,Smeargle
"['Brick Break', 'Rock Slide', 'Low Sweep']",[],[],"['Rock Smash', 'Tackle']",Normal,Tyrogue
"['Close Combat', 'Gyro Ball', 'Stone Edge', 'Triple Axel']",[],[],"['Rock Smash', 'Counter']",Normal,Hitmontop
"['Ice Beam', 'Ice Punch', 'Psyshock']",[],['Frost Breath'],"['Powder Snow', 'Pound']",Normal,Smoochum
"['Thunder Punch', 'Brick Break', 'Discharge']",['Thunderbolt'],[],"['Thunder Shock', 'Low Kick']",Normal,Elekid
"['Brick Break', 'Fire Punch', 'Flame Burst']",['Flamethrower'],[],"['Ember', 'Karate Chop']",Normal,Magby
"['Stomp', 'Body Slam', 'Gyro Ball', 'Thunderbolt', 'Ice Beam']",[],[],"['Tackle', 'Zen Headbutt', 'Rollout']",Normal,Miltank
"['Psychic', 'Hyper Beam', 'Dazzling Gleam']",['Wild Charge'],[],"['Pound', 'Zen Headbutt']",Normal,Blissey
"['Thunder', 'Thunderbolt', 'Wild Charge', 'Shadow Ball']",[],[],"['Thunder Shock', 'Volt Switch']",Normal,Raikou
"['Thunder', 'Thunderbolt', 'Wild Charge', 'Shadow Ball']",[],[],"['Thunder Shock', 'Volt Switch']",S,Raikou
"['Flamethrower', 'Fire Blast', 'Overheat', 'Iron Head', 'Flame Charge', 'Scorching Sands']",[],[],"['Fire Spin', 'Fire Fang']",Normal,Entei
"['Flamethrower', 'Fire Blast', 'Overheat', 'Iron Head', 'Flame Charge', 'Scorching Sands']",[],[],"['Fire Spin', 'Fire Fang']",S,Entei
"['Hydro Pump', 'Bubble Beam', 'Water Pulse', 'Ice Beam', 'Scald']",[],['Hidden Power'],"['Extrasensory', 'Snarl', 'Ice Fang']",Normal,Suicune
"['Hydro Pump', 'Bubble Beam', 'Water Pulse', 'Ice Beam', 'Scald']",[],['Hidden Power'],"['Extrasensory', 'Snarl', 'Ice Fang']",S,Suicune
"['Stomp', 'Crunch', 'Ancient Power']",[],[],"['Bite', 'Rock Smash']",Normal,Larvitar
"['Dig', 'Crunch', 'Ancient Power']",[],[],"['Bite', 'Rock Smash']",Normal,Pupitar
"['Fire Blast', 'Crunch', 'Stone Edge', 'Brutal Swing']",[],['Smack Down'],"['Bite', 'Iron Tail']",Normal,Tyranitar
"['Sky Attack', 'Hydro Pump', 'Futuresight']",['Aeroblast'],[],"['Extrasensory', 'Dragon Tail']",Normal,Lugia
"['Sky Attack', 'Hydro Pump', 'Futuresight']",['Aeroblast'],[],"['Extrasensory', 'Dragon Tail']",S,Lugia
"['Brave Bird', 'Fire Blast', 'Solar Beam']","['Earthquake', 'Sacred Fire']",[],"['Extrasensory', 'Steel Wing', 'Hidden Power', 'Incinerate']",Normal,Ho-Oh
"['Brave Bird', 'Fire Blast', 'Solar Beam']","['Earthquake', 'Sacred Fire']",[],"['Extrasensory', 'Steel Wing', 'Hidden Power', 'Incinerate']",S,Ho-Oh
"['Hyper Beam', 'Psychic', 'Dazzling Gleam', 'Seed Bomb', 'Leaf Storm']",[],['Magical Leaf'],"['Confusion', 'Charge Beam']",Normal,Celebi
"['Energy Ball', 'Aerial Ace', 'Grass Knot']",[],[],"['Pound', 'Bullet Seed']",Normal,Treecko
"['Leaf Blade', 'Aerial Ace', 'Grass Knot']",[],[],"['Quick Attack', 'Bullet Seed']",Normal,Grovyle
"['Leaf Blade', 'Aerial Ace', 'Earthquake', 'Dragon Claw', 'Breaking Swipe']",['Frenzy Plant'],[],"['Fury Cutter', 'Bullet Seed']",Normal,Sceptile
"['Flame Charge', 'Flamethrower', 'Rock Tomb']",[],[],"['Scratch', 'Ember']",Normal,Torchic
"['Flame Charge', 'Flamethrower', 'Rock Slide']",[],[],"['Peck', 'Ember']",Normal,Combusken
"['Focus Blast', 'Overheat', 'Brave Bird', 'Blaze Kick']","['Blast Burn', 'Stone Edge']",[],"['Counter', 'Fire Spin']",Normal,Blaziken
"['Dig', 'Sludge', 'Stomp']",[],[],"['Tackle', 'Water Gun']",Normal,Mudkip
"['Mud Bomb', 'Sludge', 'Surf']",[],[],"['Mud Shot', 'Water Gun']",Normal,Marshtomp
"['Earthquake', 'Sludge Wave', 'Surf', 'Muddy Water']",['Hydro Cannon'],[],"['Mud Shot', 'Water Gun']",Normal,Swampert
"['Crunch', 'Dig', 'Poison Fang']",[],[],"['Tackle', 'Snarl']",Normal,Poochyena
"['Crunch', 'Play Rough', 'Poison Fang']",[],[],"['Bite', 'Fire Fang', 'Thunder Fang', 'Ice Fang']",Normal,Mightyena
"['Dig', 'Body Slam', 'Swift']",[],[],"['Tackle', 'Take Down']",Galarian,Zigzagoon
"['Dig', 'Grass Knot', 'Thunderbolt']",[],[],"['Tackle', 'Rock Smash', 'Sand Attack']",Normal,Zigzagoon
"['Dig', 'Body Slam', 'Gunk Shot']",[],[],"['Snarl', 'Lick']",Galarian,Linoone
"['Dig', 'Grass Knot', 'Thunder']",[],[],"['Shadow Claw', 'Tackle', 'Sand Attack']",Normal,Linoone
['Struggle'],[],[],"['Tackle', 'Bug Bite']",Normal,Wurmple
['Struggle'],[],[],"['Poison Sting', 'Bug Bite']",Normal,Silcoon
"['Silver Wind', 'Air Cutter', 'Bug Buzz']",[],[],"['Struggle Bug', 'Infestation']",Normal,Beautifly
['Struggle'],[],[],"['Poison Sting', 'Bug Bite']",Normal,Cascoon
"['Silver Wind', 'Sludge Bomb', 'Bug Buzz']",[],[],"['Struggle Bug', 'Confusion']",Normal,Dustox
"['Bubble Beam', 'Energy Ball', 'Scald']",[],[],"['Water Gun', 'Razor Leaf']",Normal,Lotad
"['Bubble Beam', 'Ice Beam', 'Grass Knot', 'Scald']",[],[],"['Bubble', 'Razor Leaf']",Normal,Lombre
"['Hydro Pump', 'Blizzard', 'Solar Beam', 'Ice Beam', 'Energy Ball', 'Leaf Storm', 'Scald']",[],[],"['Bubble', 'Razor Leaf']",Normal,Ludicolo
"['Energy Ball', 'Grass Knot', 'Foul Play']",[],[],"['Bullet Seed', 'Quick Attack']",Normal,Seedot
"['Leaf Blade', 'Grass Knot', 'Foul Play']",[],[],"['Razor Leaf', 'Feint Attack']",Normal,Nuzleaf
"['Leaf Blade', 'Hurricane', 'Foul Play', 'Leaf Tornado']",[],['Bullet Seed'],"['Razor Leaf', 'Feint Attack', 'Snarl']",Normal,Shiftry
['Aerial Ace'],[],[],"['Peck', 'Quick Attack']",Normal,Taillow
"['Aerial Ace', 'Brave Bird', 'Sky Attack']",[],[],"['Wing Attack', 'Steel Wing']",Normal,Swellow
"['Water Pulse', 'Air Cutter', 'Ice Beam']",[],[],"['Water Gun', 'Quick Attack']",Normal,Wingull
"['Hydro Pump', 'Hurricane', 'Blizzard', 'Weather Ball Water']",[],[],"['Water Gun', 'Wing Attack']",Normal,Pelipper
"['Psyshock', 'Disarming Voice', 'Shadow Sneak']",[],[],"['Confusion', 'Charge Beam']",Normal,Ralts
"['Psychic', 'Disarming Voice', 'Shadow Sneak', 'Triple Axel', 'Draining Kiss']",[],[],"['Confusion', 'Charge Beam', 'Magical Leaf']",Normal,Kirlia
"['Psychic', 'Dazzling Gleam', 'Shadow Ball', 'Triple Axel']",['Synchronoise'],[],"['Confusion', 'Charge Beam', 'Charm', 'Magical Leaf']",Normal,Gardevoir
"['Aqua Jet', 'Bubble Beam', 'Signal Beam']",[],[],"['Bubble', 'Bug Bite']",Normal,Surskit
